x,y
AUS,72.35423
AUT,71.91132
BEL,62.40838
CAN,73.26667
CZE,73.06837
DNK,73.95174
FIN,69.35264
FRA,64.36411
DEU,74.93085
GRC,52.83697
HUN,67.61472
ISL,86.91075
IRL,65.77844
ITA,57.71511
JPN,75.00492
KOR,66.51134
LUX,66.07245
MEX,61.38761
NLD,75.44229
NZL,76.68049
NOR,73.99142
POL,65.73808
PRT,66.70341
SVK,65.81464
ESP,60.41332
SWE,76.76468
CHE,79.2602
TUR,50.85088
GBR,73.91338
USA,69.81933
CHL,62.4152
EST,73.71294
ISR,68.96391
SVN,68.21357
ZAF,43.78657
EU28,67.24375
OECD,67.39309
G-7,70.29562
EA19,65.94183
COL,67.11679
LVA,69.07087
